Compartment,TotalArea,AreaWaterPortion,AreaUplandPortion,AreaMarshPortion,MarshEdgeLength,Runoff_method,bed_elev,bed_depth,bed_bulk_density,percentForETcalc,sand_adaptionCeoff,Runoff_coeff,RainGage,WindGage,ETGage,CurrentsCoeff_ka,bedFricCoeff_cf,NonSandExp_sedn,NonSandCoeff_sedcalib,SandCoeff_alphased,Marsh_Flow_roughness_Kka,Minimum_Marsh_Flow_Depth_Kkdepth,MarshEdgeErosionRate_myr,offshore_TSS_-9999_if_not_used_CSSos,marsh_elev_mean,marsh_elev_stdv,soil_moisture_depth_Esho,depo_on_off,marh_elev_adjust,!,! Notes
1,89413998,0.020604,0.837591,0.141805,1117800,2,-0.00385,0.05,0.835,10,0.25,40,286,196,1,0.023,0.001,0.5,1.00E-09,0.008,0.05,0.05,0,-9999,3.805576,2.629891255,0.2,1,-2.629891255,!,2D compartment
2,125672209,0.004965,0.056217,0.938818,1512900,2,-0.00385,0.05,0.835,10,0.25,40,286,197,1,0.023,0.001,0.5,1.00E-09,0.008,0.05,0.05,0,-9999,0.556062,0.39404797,0.2,1,-0.39404797,!,2D compartment
3,19678816,0.008278,0.035995,0.955726,297000,2,-0.5,0.05,0.835,10,0.25,40,286,197,1,0.023,0.001,0.5,1.00E-09,0.008,0.05,0.05,0,-9999,0.426262,0.162166759,0.2,1,-0.162166759,!,2D compartment
4,20564566,0.005254,0.015412,0.979334,243900,2,-0.5,0.05,0.835,10,0.25,40,286,210,1,0.023,0.001,0.5,1.00E-09,0.008,0.05,0.05,0,-9999,0.575383,0.214022486,0.2,1,-0.214022486,!,2D compartment
5,61585639,0.0038,0.106017,0.890183,247500,2,-0.493383,0.05,0.835,10,0.25,40,261,210,1,0.023,0.001,0.5,1.00E-09,0.008,0.05,0.05,0,-9999,0.33798,0.174001936,0.2,1,-0.174001936,!,2D compartment
6,37491882,0.046959,0.788947,0.164094,858600,2,-0.00385,0.05,0.835,10,0.25,40,261,209,1,0.023,0.001,0.5,1.00E-09,0.008,0.05,0.05,0,-9999,2.495565,2.468827098,0.2,1,-2.468827098,!,2D compartment
7,15010778,0.003177,0.294516,0.702307,214200,2,-0.219645,0.05,0.835,10,0.25,40,261,223,1,0.023,0.001,0.5,1.00E-09,0.008,0.05,0.05,0,-9999,0.43363,0.260687209,0.2,1,-0.260687209,!,2D compartment
8,13390575,0.007722,0.864961,0.127317,304200,2,-0.00385,0.05,0.835,10,0.25,40,261,223,1,0.023,0.001,0.5,1.00E-09,0.008,0.05,0.05,0,-9999,0.958914,0.457932387,0.2,1,-0.457932387,!,2D compartment
9,23882196,0.000226,0.350905,0.648869,56700,2,-0.006528,0.05,0.835,10,0.25,40,261,223,1,0.023,0.001,0.5,1.00E-09,0.008,0.05,0.05,0.01424748,-9999,0.595718,0.420488976,0.2,1,-0.420488976,!,2D compartment
10,24574494,0.005125,0.793433,0.201442,313200,2,-0.00385,0.05,0.835,10,0.25,40,261,223,1,0.023,0.001,0.5,1.00E-09,0.008,0.05,0.05,0,-9999,2.372491,0.943207691,0.2,1,-0.943207691,!,2D compartment
11,28208651,0.081743,0.044749,0.873508,2633400,2,-0.50882,0.05,0.835,10,0.25,40,230,223,1,0.023,0.001,0.5,1.00E-09,0.008,0.05,0.05,0.083592449,-9999,0.820503,0.660959573,0.2,1,-0.660959573,!,2D tributary boundary (Qmult > 0)
12,78208238,0.115363794,0.032929821,0.851706384,9021600,2,-0.5859,0.05,0.835,10,0.25,40,209,237,1,0.023,0.001,0.5,1.00E-09,0.008,0.05,0.05,0.1013187,-9999,0.323164,0.249255287,0.2,1,-0.249255287,!,2D compartment
13,280186121,0.005567,0.909828,0.084606,3248100,2,-0.502471,0.05,0.835,10,0.25,40,106,237,1,0.023,0.001,0.5,1.00E-09,0.008,0.05,0.05,0.004667313,-9999,0.552458,1.595315375,0.2,1,-1.595315375,!,2D compartment
14,59310369,0.017436,0.812875,0.169689,1338300,2,-3.034313,0.05,0.835,10,0.25,40,63,265,1,0.023,0.001,0.5,1.00E-09,0.008,0.05,0.05,0.0482853,-9999,0.192923,0.769362922,0.2,1,-0.769362922,!,2D compartment
15,105055632,0.029518,0.019523,0.950959,3982500,2,-2.86,0.05,0.835,10,0.25,40,274,197,1,0.023,0.001,0.5,1.00E-09,0.008,0.05,0.05,0.07742127,-9999,0.415276,0.48060168,0.2,1,-0.48060168,!,2D compartment
16,20615183,0.002923,0.016097,0.98098,197100,2,-0.775204,0.05,0.835,10,0.25,40,236,210,1,0.023,0.001,0.5,1.00E-09,0.008,0.05,0.05,0,-9999,0.385238,0.140489687,0.2,1,-0.140489687,!,FWOA diversion outfall - Maurepas
17,23400311,0.006233,7.70E-05,0.99369,369000,2,-2.494671,0.05,0.835,10,0.25,40,258,210,1,0.023,0.001,0.5,1.00E-09,0.008,0.05,0.05,0.039294469,-9999,0.368524,0.149118686,0.2,1,-0.149118686,!,2D compartment
18,31196106,0.039214,0.000202,0.960584,1019700,2,-7.55,0.05,0.835,10,0.25,40,236,210,1,0.023,0.001,0.5,1.00E-09,0.008,0.05,0.05,0.091100949,-9999,0.28418,0.390047086,0.2,1,-0.390047086,!,2D compartment
19,26355017,0.000171,0.007307,0.992522,141300,2,-0.5,0.05,0.835,10,0.25,40,236,210,1,0.023,0.001,0.5,1.00E-09,0.008,0.05,0.05,0,-9999,0.23631,0.127611684,0.2,1,-0.127611684,!,FWOA diversion outfall - Maurepas
20,11946312,0.00196,7.50E-05,0.997965,198900,2,-0.5,0.05,0.835,10,0.25,40,236,210,1,0.023,0.001,0.5,1.00E-09,0.008,0.05,0.05,0.070700573,-9999,0.310939,0.089575136,0.2,1,-0.089575136,!,2D compartment
21,14320065,0.006968,0.008286,0.984747,153000,2,-0.353891,0.05,0.835,10,0.25,40,236,210,1,0.023,0.001,0.5,1.00E-09,0.008,0.05,0.05,0,-9999,0.267496,0.118259525,0.2,1,-0.118259525,!,2D compartment
22,9193222,0.008622,0.011758,0.97962,155700,2,-0.361492,0.05,0.835,10,0.25,40,236,210,1,0.023,0.001,0.5,1.00E-09,0.008,0.05,0.05,0.033200256,-9999,0.311978,0.093656047,0.2,1,-0.093656047,!,2D compartment
23,17789618,0.001164,0.010118,0.988719,164700,2,-0.248267,0.05,0.835,10,0.25,40,236,224,1,0.023,0.001,0.5,1.00E-09,0.008,0.05,0.05,0,-9999,0.337573,0.146002294,0.2,1,-0.146002294,!,2D compartment
24,13970240,0.013533,0.000193,0.986274,339300,2,-0.46997,0.05,0.835,10,0.25,40,136,224,1,0.023,0.001,0.5,1.00E-09,0.008,0.05,0.05,0.090164771,-9999,0.366838,0.092804823,0.2,1,-0.092804823,!,2D compartment
25,25127435,0.012253,0.029808,0.957939,558900,2,-0.376629,0.05,0.835,10,0.25,40,236,224,1,0.023,0.001,0.5,1.00E-09,0.008,0.05,0.05,0.00099394,-9999,0.279465,0.138513359,0.2,1,-0.138513359,!,2D compartment
26,43968782,0.033396,0.029465,0.937139,2748600,2,-0.5,0.05,0.835,10,0.25,40,136,224,1,0.023,0.001,0.5,1.00E-09,0.008,0.05,0.05,0.174653576,-9999,0.274756,0.192609696,0.2,1,-0.192609696,!,2D compartment
27,19107711,0.00146,0.059444,0.939096,260100,2,-1,0.05,0.835,10,0.25,40,106,224,1,0.023,0.001,0.5,1.00E-09,0.008,0.05,0.05,0.167427773,-9999,0.273911,0.166643574,0.2,1,-0.166643574,!,2D compartment
28,41202863,0.009614,0.035309,0.955078,1260000,2,-0.230911,0.05,0.835,10,0.25,40,258,210,1,0.023,0.001,0.5,1.00E-09,0.008,0.05,0.05,0.045330308,-9999,0.353834,0.181540563,0.2,1,-0.181540563,!,2D compartment
29,85233104,0.004414,0.098,0.897578,1211400,2,-0.414578,0.05,0.835,10,0.25,40,215,210,1,0.023,0.001,0.5,1.00E-09,0.008,0.05,0.05,0.057461681,-9999,0.515994,0.326946016,0.2,1,-0.326946016,!,2D compartment
30,32882479,0.010636,0.008639,0.980725,737100,2,-1.938208,0.05,0.835,10,0.25,40,97,225,1,0.023,0.001,0.5,1.00E-09,0.008,0.05,0.05,0.098591895,-9999,0.477251,0.176932916,0.2,1,-0.176932916,!,2D compartment
31,19142288,0.006502,0.045294,0.948204,707400,2,-0.42986,0.05,0.835,10,0.25,40,97,225,1,0.023,0.001,0.5,1.00E-09,0.008,0.05,0.05,0.063470823,-9999,0.419997,0.217135469,0.2,1,-0.217135469,!,2D compartment
32,79153215,0.01165,0.021603,0.966747,2459700,2,-0.782858,0.05,0.835,10,0.25,40,97,225,1,0.023,0.001,0.5,1.00E-09,0.008,0.05,0.05,0.041801325,-9999,0.404514,0.15592511,0.2,1,-0.15592511,!,2D compartment
33,239993898,0.994469,1.50E-05,0.005516,1180800,2,-2.745142,0.05,0.835,10,0.25,40,150,224,1,0.023,0.001,0.5,1.00E-09,0.008,0.05,0.05,0.048495984,-9999,0.025982,0.842319524,0.2,1,-0.842319524,!,2D tributary boundary (Qmult > 0)
34,205007320,0.030537,0.004905,0.964558,5228100,2,-5.33,0.05,0.835,10,0.25,40,80,225,1,0.023,0.001,0.5,1.00E-09,0.008,0.05,0.05,0.057158586,-9999,0.440674,0.239811377,0.2,1,-0.239811377,!,2D compartment
35,65793914,0.08960274,0.025109589,0.885287671,2517300,2,-0.382898,0.05,0.835,10,0.25,40,48,239,1,0.023,0.001,0.5,1.00E-09,0.008,0.05,0.05,0.087835462,-9999,0.765753,0.270692681,0.2,1,-0.270692681,!,2D compartment
36,11178431,0.007921,0.016051,0.976028,426600,2,-1,0.05,0.835,10,0.25,40,48,253,1,0.023,0.001,0.5,1.00E-09,0.008,0.05,0.05,0.062883121,-9999,0.637699,0.121428331,0.2,1,-0.121428331,!,2D compartment
37,876906366,0.99379,0.00081,0.0054,2712600,2,-3.394203,0.05,0.835,10,0.25,40,106,238,1,0.023,0.001,0.5,1.00E-09,0.008,0.05,0.05,0.018744843,-9999,0.515073,0.719425243,0.2,1,-0.719425243,!,2D tributary boundary (Qmult > 0)
38,672883641,0.991543,0.004134,0.004323,2459700,2,-3.896359,0.05,0.835,10,0.25,40,45,252,1,0.023,0.001,0.5,1.00E-09,0.008,0.05,0.05,0.028301222,-9999,1.047018,1.002282314,0.2,1,-1.002282314,!,2D tributary boundary (Qmult > 0)
39,21810910,0.249523,0.015036,0.735441,1122300,2,-0.176669,0.05,0.835,10,0.25,40,45,253,1,0.023,0.001,0.5,1.00E-09,0.008,0.05,0.05,0.137890892,-9999,1.137729,0.201971769,0.2,1,-0.201971769,!,2D compartment
40,9755350,0.26981,0.012934,0.717256,5295600,2,-0.191662,0.05,0.835,10,0.25,40,36,266,1,0.023,0.001,0.5,1.00E-09,0.008,0.05,0.05,0.254141976,-9999,0.806568,0.260654821,0.2,1,-0.260654821,!,2D compartment
41,79950734,0.190792585,0.064505957,0.744701457,7905600,2,-0.463838,0.05,0.835,10,0.25,40,51,265,1,0.023,0.001,0.5,1.00E-09,0.008,0.05,0.05,0.141269419,-9999,0.192923,1.106042656,0.2,1,-1.106042656,!,2D compartment
42,186198923,0.681726563,0.142895812,0.175377625,13304700,2,-2.234945,0.05,0.835,10,0.25,40,37,266,1,0.023,0.001,0.5,1.00E-09,0.008,0.05,0.05,0.136706816,-9999,0.410422,0.630836665,0.2,1,-0.630836665,!,2D compartment
43,68295693,0.67996364,0.01873345,0.30130291,7528500,2,-2.511859,0.05,0.835,10,0.25,40,35,280,1,0.023,0.001,0.5,1.00E-09,0.008,0.05,0.05,0.229602395,-9999,0.328796,0.271962976,0.2,1,-0.271962976,!,2D compartment
44,27780799,0.131953,0.045388,0.822659,4195800,2,-0.264659,0.05,0.835,10,0.25,40,30,280,1,0.023,0.001,0.5,1.00E-09,0.008,0.05,0.05,0.130871167,-9999,0.35288,0.207203001,0.2,1,-0.207203001,!,2D compartment
45,45710221,0.211751488,0.388595419,0.399653093,4977900,2,-0.342246,0.05,0.835,10,0.25,40,30,280,1,0.023,0.001,0.5,1.00E-09,0.008,0.05,0.05,0.101294036,-9999,0.380553,0.304661645,0.2,1,-0.304661645,!,2D compartment
46,32505115,0.03189,0.652696,0.315414,1091700,2,-0.00385,0.05,0.835,10,0.25,40,25,280,1,0.023,0.001,0.5,1.00E-09,0.008,0.05,0.05,0.037699802,-9999,1.184661,0.476338486,0.2,1,-0.476338486,!,2D compartment
47,24386081,0.015803,0.461379,0.522818,1195200,2,-0.00385,0.05,0.835,10,0.25,40,23,281,1,0.023,0.001,0.5,1.00E-09,0.008,0.05,0.05,0,-9999,3.103261,0.678621271,0.2,1,-0.678621271,!,2D compartment
48,89852999,0.049581,0.073375,0.877044,3670200,2,-1,0.05,0.835,10,0.25,40,23,281,1,0.023,0.001,0.5,1.00E-09,0.008,0.05,0.05,0.005254417,-9999,2.050907,1.308468971,0.2,1,-1.308468971,!,2D compartment
49,36898398,0.035618,0.00766,0.956722,2767500,2,-0.475649,0.05,0.835,10,0.25,40,25,280,1,0.023,0.001,0.5,1.00E-09,0.008,0.05,0.05,0.035936037,-9999,0.586796,0.341016604,0.2,1,-0.341016604,!,2D compartment
50,51821048,0.258088,0.003595,0.738317,6690600,2,-1.231398,0.05,0.835,10,0.25,40,26,280,1,0.023,0.001,0.5,1.00E-09,0.008,0.05,0.05,0.140225835,-9999,0.299774,0.249505029,0.2,1,-0.249505029,!,2D compartment
51,53059707,0.03665,0.329511,0.633839,2489400,2,-0.00385,0.05,0.835,10,0.25,40,23,281,1,0.023,0.001,0.5,1.00E-09,0.008,0.05,0.05,0.004614664,-9999,2.760582,1.535113773,0.2,1,-1.535113773,!,2D compartment
52,54900145,0.011181,0.613,0.375939,710100,2,-0.00385,0.05,0.835,10,0.25,40,25,295,1,0.023,0.001,0.5,1.00E-09,0.008,0.05,0.05,0.004069846,-9999,2.671488,0.771332095,0.2,1,-0.771332095,!,2D compartment
53,122845376,0.02707,0.515645,0.457285,4123800,2,-0.325847,0.05,0.835,10,0.25,40,21,294,1,0.023,0.001,0.5,1.00E-09,0.008,0.05,0.05,0.005200943,-9999,1.518342,0.538813823,0.2,1,-0.538813823,!,2D compartment
54,39290846,0.082143,0.0715,0.846386,4168800,2,-0.040806,0.05,0.835,10,0.25,40,21,294,1,0.023,0.001,0.5,1.00E-09,0.008,0.05,0.05,0.00023803,-9999,0.426901,0.514168987,0.2,1,-0.514168987,!,2D compartment
55,82921002,0.388020155,0.005092955,0.606886891,16500600,2,-3.29046,0.05,0.835,10,0.25,40,46,265,1,0.023,0.001,0.5,1.00E-09,0.008,0.05,0.05,0.303602768,-9999,0.361115,0.515255104,0.2,1,-0.515255104,!,2D compartment
56,360683178,0.988081,1.50E-05,0.011904,2028600,2,-2.675714,0.05,0.835,10,0.25,40,46,279,1,0.023,0.001,0.5,1.00E-09,0.008,0.05,0.05,0.043202333,-9999,0.530613,0.603641052,0.2,1,-0.603641052,!,2D compartment
57,376042262,0.882823,3.80E-05,0.117138,12033000,2,-3.084376,0.05,0.835,10,0.25,40,31,279,1,0.023,0.001,0.5,1.00E-09,0.008,0.05,0.05,0.074749194,-9999,0.46498,0.261480951,0.2,1,-0.261480951,!,2D compartment
58,32786454,0.355681849,0.000768745,0.643549406,7591500,2,-1.733196,0.05,0.835,10,0.25,40,53,278,1,0.023,0.001,0.5,1.00E-09,0.008,0.05,0.05,0.271560543,-9999,0.306591,0.22831775,0.2,1,-0.22831775,!,2D compartment
59,196197474,0.31459267,2.75E-05,0.685379806,40719600,2,-0.252433,0.05,0.835,10,0.25,40,32,293,1,0.023,0.001,0.5,1.00E-09,0.008,0.05,0.05,0.286760841,-9999,0.331487,0.186345864,0.2,1,-0.186345864,!,2D compartment
60,45188402,0.394825,0,0.605175,8193600,2,-0.541573,0.05,0.835,10,0.25,40,32,293,1,0.023,0.001,0.5,1.00E-09,0.008,0.05,0.05,0.349781477,-9999,0.355353,0.173133797,0.2,1,-0.173133797,!,2D compartment
61,13253709,0.197146,0.000136,0.802718,1705500,2,-0.391791,0.05,0.835,10,0.25,40,32,293,1,0.023,0.001,0.5,1.00E-09,0.008,0.05,0.05,0.30427614,-9999,0.246062,0.119032504,0.2,1,-0.119032504,!,2D compartment
62,15059235,0.390923,0,0.609077,2070000,2,-0.674836,0.05,0.835,10,0.25,40,32,293,1,0.023,0.001,0.5,1.00E-09,0.008,0.05,0.05,0.511988775,-9999,0.285223,0.142136105,0.2,1,-0.142136105,!,2D compartment
63,41778898,0.645342,0,0.354658,5106600,2,-0.81021,0.05,0.835,10,0.25,40,32,293,1,0.023,0.001,0.5,1.00E-09,0.008,0.05,0.05,0.53526433,-9999,0.264398,0.142460599,0.2,1,-0.142460599,!,2D compartment
64,50433905,0.536261,0,0.463739,8876700,2,-0.634604,0.05,0.835,10,0.25,40,28,305,1,0.023,0.001,0.5,1.00E-09,0.008,0.05,0.05,0.564307264,-9999,0.281473,0.162223174,0.2,1,-0.162223174,!,2D compartment
65,175369087,0.495348,0.000395,0.504257,20707200,2,-1.981009,0.05,0.835,10,0.25,40,39,292,1,0.023,0.001,0.5,1.00E-09,0.008,0.05,0.05,0.418863008,-9999,0.34856,0.213436033,0.2,1,-0.213436033,!,2D compartment
66,196844807,0.822981,5.00E-06,0.177015,12625200,2,-1.162503,0.05,0.835,10,0.25,40,28,305,1,0.023,0.001,0.5,1.00E-09,0.008,0.05,0.05,0.330628638,-9999,0.437926,0.234672088,0.2,1,-0.234672088,!,2D compartment
67,323636140,0.881338,0,0.119,16511400,2,-1.272128,0.05,0.835,10,0.25,40,22,306,1,0.023,0.001,0.5,1.00E-09,0.008,0.05,0.05,0.260342079,-9999,0.454624,0.223150036,0.2,1,-0.223150036,!,2D compartment
68,836722761,0.982918,0.002702,0.01438,4230900,2,-3.261984,0,0.835,10,0.25,40,17,307,1,0.023,0.001,0.5,0,0,0.05,0.05,0.003389945,-9999,0.70022,1.005201083,0.2,0,-1.005201083,!,2D compartment
69,139253370,0.333813,0.360735,0.305452,6673500,2,-1.475251,0.05,0.835,10,0.25,40,11,308,1,0.023,0.001,0.5,1.00E-09,0.008,0.05,0.05,0,-9999,1.37373,0.514168987,0.2,1,-0.514168987,!,2D tributary boundary (Qmult > 0)
70,166432286,0.99179,7.00E-05,0.008139,690300,2,-1.994126,0.05,0.835,10,0.25,40,16,317,1,0.023,0.001,0.5,1.00E-09,0.008,0.05,0.05,0.024571349,-9999,0.530781,0.253660797,0.2,1,-0.253660797,!,2D compartment
71,197327267,1,0,0,0,2,-4.171075,0,0.835,10,0.25,40,16,318,1,0.023,0.001,0.5,0,0,0.05,0.05,0,-9999,0.466309089,0.514168987,0.2,0,-0.514168987,!,2D compartment
72,249075480,1,0,0,0,2,-8.143663,0,0.835,10,0.25,40,9,328,1,0.023,0.001,0.5,0,0,0.05,0.05,0,-9999,0.466309089,0.514168987,0.2,0,-0.514168987,!,2D compartment
73,158567981,0.999637,0,0.000363,49500,2,-1.89051,0.05,0.835,10,0.25,40,16,317,1,0.023,0.001,0.5,1.00E-09,0.008,0.05,0.05,0.009779237,-9999,0.513968,0.270466533,0.2,1,-0.270466533,!,2D compartment
74,280129298,1,0,0,0,2,-3.740101,0,0.835,10,0.25,40,16,317,1,0.023,0.001,0.5,0,0,0.05,0.05,0,-9999,0.466309089,0.514168987,0.2,0,-0.514168987,!,2D compartment
75,445222841,0.976527,0.003313,0.02016,4129200,2,-3.707698,0,0.835,10,0.25,40,12,326,1,0.023,0.001,0.5,0,0,0.05,0.05,0.017559319,-9999,0.173573,0.85964876,0.2,0,-0.85964876,!,2D compartment
76,152881845,0.997669,6.00E-06,0.002325,167400,2,-2.012566,0,0.835,10,0.25,40,24,305,1,0.023,0.001,0.5,0,0,0.05,0.05,0.006181364,-9999,0.524879,0.267048441,0.2,0,-0.267048441,!,2D compartment
77,245208234,1,0,0,0,2,-3.423744,0,0.835,10,0.25,40,24,316,1,0.023,0.001,0.5,0,0,0.05,0.05,0,-9999,0.466309089,0.514168987,0.2,0,-0.514168987,!,2D compartment
78,262126587,0.997961,0.000385,0.001655,237600,2,-3.779768,0,0.835,10,0.25,40,19,325,1,0.023,0.001,0.5,0,0,0.05,0.05,0.000987754,-9999,0.192923,0.926917019,0.2,0,-0.926917019,!,2D compartment
79,196054125,0.997861,1.40E-05,0.002125,203400,2,-2.316453,0.05,0.835,10,0.25,40,39,304,1,0.023,0.001,0.5,1.00E-09,0.008,0.05,0.05,0.015612584,-9999,0.066992,0.86988319,0.2,1,-0.86988319,!,2D compartment
80,20424940,0.489427,0.046123,0.464449,2021400,2,-0.63642,0.05,0.835,10,0.25,40,66,251,1,0.023,0.001,0.5,1.00E-09,0.008,0.05,0.05,0.354727317,-9999,1.168236,1.308999853,0.2,1,-1.308999853,!,2D compartment
81,58117048,0.214456,0.018771,0.766773,9813600,2,-0.5,0.05,0.835,10,0.25,40,66,265,1,0.023,0.001,0.5,1.00E-09,0.008,0.05,0.05,0.208431243,-9999,0.445593,0.442082231,0.2,1,-0.442082231,!,2D compartment
82,39658138,0.029865,0.032724,0.937411,2542500,2,-0.5,0.05,0.835,10,0.25,40,66,264,1,0.023,0.001,0.5,1.00E-09,0.008,0.05,0.05,0.046978415,-9999,0.519315,0.587488567,0.2,1,-0.587488567,!,2D compartment
83,20965317,0.04482,0.040871,0.914309,1350000,2,-0.114989,0.05,0.835,10,0.25,40,53,278,1,0.023,0.001,0.5,1.00E-09,0.008,0.05,0.05,0.075897927,-9999,0.668885,0.577263168,0.2,1,-0.577263168,!,2D compartment
